Season,League,Nickname,Place,Points,Rating_start,Rating_end,Rating_delta,Games,Wins,Losses,Draws,Winrate,MVP1,MVP2,MVP3,MVP_total,Rank
summer_2026,sundaygames,Pantazi_ko,1,1483,1000,1483,483,107,56,51,0,52.3,53,21,12,86,S
summer_2026,sundaygames,Sem,2,1343,1000,1343,343,162,85,77,0,52.5,26,40,17,83,S
summer_2026,sundaygames,Zavodchanyn,3,1237,1000,1237,237,94,51,43,0,54.3,18,17,10,45,S
summer_2026,sundaygames,Justy,4,1144,800,1144,344,112,58,54,0,51.8,22,14,22,58,A
summer_2026,sundaygames,Temostar,5,1132,600,1132,532,85,54,31,0,63.5,14,21,13,48,A
summer_2026,sundaygames,Laston,6,1123,800,1123,323,107,53,54,0,49.5,19,15,22,56,A
summer_2026,sundaygames,Morti,7,1078,800,1078,278,55,31,24,0,56.4,14,8,10,32,A
summer_2026,sundaygames,Wolfie,8,1044,400,1044,644,230,111,119,0,48.3,17,26,36,79,A
summer_2026,sundaygames,Оксанка,9,1041,600,1041,441,177,89,88,0,50.3,13,18,29,60,A
summer_2026,sundaygames,Slavon,10,1038,600,1038,438,109,61,48,0,56,13,20,18,51,A
summer_2026,sundaygames,Bogd,11,1037,800,1037,237,63,34,29,0,54,10,13,8,31,A
