Season,League,Nickname,Place,Points,Rating_start,Rating_end,Rating_delta,Games,Wins,Losses,Draws,Winrate,MVP1,MVP2,MVP3,MVP_total,Rank
spring_2026,kids,Фіолетово,8,320,200,320,120,25,11,14,0,44,0,0,0,0,E
spring_2026,kids,Артемон,9,276,200,276,76,8,4,4,0,50,0,3,1,4,E
spring_2026,kids,Герман супер про,11,141,1,141,140,10,7,3,0,70,0,0,0,0,F
spring_2026,kids,Шаурмятко,12,110,1,110,109,7,5,2,0,71.4,0,0,3,3,F
spring_2026,kids,Ая,13,101,1,101,100,8,5,3,0,62.5,0,0,0,0,F
spring_2026,kids,igorDenis1216,14,101,1,101,100,8,5,3,0,62.5,0,0,0,0,F
spring_2026,kids,шавуха,15,93,1,93,92,8,4,4,0,50,1,0,0,1,F
spring_2026,kids,Альфа,16,81,1,81,80,8,4,4,0,50,0,0,0,0,F
spring_2026,kids,Стрілець,17,81,1,81,80,8,4,4,0,50,0,0,0,0,F
spring_2026,kids,ТЦК Фон,18,61,1,61,60,8,3,5,0,37.5,0,0,0,0,F
spring_2026,kids,IGORIUS_777,19,41,1,41,40,2,2,0,0,100,0,0,0,0,F
spring_2026,kids,Блакитна блискавка,20,24,1,24,23,7,1,6,0,14.3,0,0,1,1,F
